DateVal,TotalUKCases,NewUKCases,TotalUKDeaths,EnglandCases,ScotlandCases,WalesCases,NICases,FID,RecoveredCases,DailyUKDeaths,EnglandDeaths,ScotlandDeaths,WalesDeaths,NIDeaths
1584403200000,1950,407,60,1557,195,136,62,1,65.0,,,,,
1584489600000,2626,676,103,2182,227,149,68,1,65.0,,,,,
1584576000000,3269,643,144,2756,266,170,77,1,,,,,,
1584662400000,3983,714,177,3384,322,191,86,1,,,,,,
1584748800000,5018,1035,233,4257,373,280,108,1,,,,,,
1584835200000,5683,665,281,4792,416,347,128,1,,,,,,
1584921600000,6650,967,335,5585,499,418,148,1,,,,,,
1585008000000,8077,1427,422,6843,584,478,172,1,,,,,,
1585094400000,9529,1452,463,7973,719,628,209,1,,,,,,
1585180800000,11658,2129,578,9782,894,741,241,1,,,,,,
1586390400000,65077,4344,7978,54554,4957,4089,1477,1,,881.0,7248.0,366.0,286.0,78.0
